group_id,topic,raw_query,raw_results,raw_recent,raw_saved,query2results,results2query,query2recent,recent2query,query2saved,saved2query,results2recent,recent2results,results2saved,saved2results,recent2saved,saved2recent
5ea72637ec9f9fc6aa2ae05d,341,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5ea72637ec9f9fc6aa2ae05d,367,4,6,0,2,3,4,0,0,1,0,0,0,1,2,0,0
5ea72637ec9f9fc6aa2ae05d,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea726adec9f9fc6aa2ae066,341,0,3,1,3,0,0,0,0,0,0,0,0,2,2,1,1
5ea726adec9f9fc6aa2ae066,367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea726adec9f9fc6aa2ae066,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea726cdec9f9fc6aa2ae06c,341,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea726cdec9f9fc6aa2ae06c,367,1,3,0,1,1,1,0,0,0,0,0,0,1,1,0,0
5ea726cdec9f9fc6aa2ae06c,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea72730ec9f9fc6aa2ae08a,341,3,4,1,1,2,3,0,0,0,0,0,1,1,0,0,1
5ea72730ec9f9fc6aa2ae08a,367,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5ea72730ec9f9fc6aa2ae08a,650,2,3,0,1,2,2,0,0,0,0,0,0,0,1,0,0
5ea727a6ec9f9fc6aa2ae2ac,341,0,3,0,2,0,0,0,0,0,0,0,0,2,2,0,0
5ea727a6ec9f9fc6aa2ae2ac,367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea727a6ec9f9fc6aa2ae2ac,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea73514ec9f9fc6aa2bec2e,341,4,5,1,0,3,4,0,0,0,0,1,1,0,0,0,0
5ea73514ec9f9fc6aa2bec2e,367,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5ea73514ec9f9fc6aa2bec2e,650,2,6,4,0,1,2,1,0,0,0,3,4,0,0,0,0
5ea7352aec9f9fc6aa2bec70,341,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5ea7352aec9f9fc6aa2bec70,367,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
5ea7352aec9f9fc6aa2bec70,650,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea73572ec9f9fc6aa2bed47,341,0,5,3,1,0,0,0,0,0,0,3,3,1,1,0,0
5ea73572ec9f9fc6aa2bed47,367,0,4,2,2,0,0,0,0,0,0,1,2,2,1,0,1
5ea73572ec9f9fc6aa2bed47,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea735aeec9f9fc6aa2bed79,341,1,3,0,1,1,1,0,0,0,0,0,0,1,1,0,0
5ea735aeec9f9fc6aa2bed79,367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea735aeec9f9fc6aa2bed79,650,4,4,3,2,2,2,1,1,1,1,1,1,0,1,1,0
5ea7365bec9f9fc6aa2bf4bf,341,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea7365bec9f9fc6aa2bf4bf,367,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5ea7365bec9f9fc6aa2bf4bf,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea73809ec9f9fc6aa2c11a1,341,3,7,5,3,1,3,1,0,0,0,2,4,2,1,1,2
5ea73809ec9f9fc6aa2c11a1,367,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5ea73809ec9f9fc6aa2c11a1,650,7,14,1,6,6,7,0,0,1,0,1,1,5,6,0,0
5ea7f828f5adb0a710abf108,341,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5ea7f828f5adb0a710abf108,367,4,12,2,7,3,3,0,0,1,1,2,2,6,6,0,0
5ea7f828f5adb0a710abf108,650,11,16,3,7,9,9,1,0,1,2,1,2,5,4,1,1
5ea7f9a0f5adb0a710abf121,341,6,7,1,1,4,6,0,0,1,0,1,1,0,1,0,0
5ea7f9a0f5adb0a710abf121,367,2,3,0,1,1,2,0,0,1,0,0,0,0,1,0,0
5ea7f9a0f5adb0a710abf121,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea7fa18f5adb0a710abf326,341,1,7,1,4,1,1,0,0,0,0,1,1,4,4,0,0
5ea7fa18f5adb0a710abf326,367,7,13,0,6,6,7,0,0,1,0,0,0,5,6,0,0
5ea7fa18f5adb0a710abf326,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5eaaf7caee9f805cdc1de892,341,12,5,8,4,4,3,5,6,3,2,1,1,0,0,1,2
5eaaf7caee9f805cdc1de892,367,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5eaaf7caee9f805cdc1de892,650,2,9,1,5,2,2,0,0,0,0,1,1,5,5,0,0
5eaaf7dbee9f805cdc1de897,341,2,4,1,0,2,2,0,0,0,0,1,1,0,0,0,0
5eaaf7dbee9f805cdc1de897,367,0,4,0,3,0,0,0,0,0,0,0,0,3,3,0,0
5eaaf7dbee9f805cdc1de897,650,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5eaafab5ee9f805cdc1dfe25,341,3,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0
5eaafab5ee9f805cdc1dfe25,367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5eaafab5ee9f805cdc1dfe25,650,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5eab1483ee9f805cdc1ed496,341,0,3,0,3,0,0,0,0,0,0,0,0,2,3,0,0
5eab1483ee9f805cdc1ed496,367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5eab1483ee9f805cdc1ed496,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5eab152eee9f805cdc1ed49e,341,19,4,9,9,3,3,8,8,8,8,0,0,0,0,1,1
5eab152eee9f805cdc1ed49e,367,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5eab152eee9f805cdc1ed49e,650,1,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0
5eab1598ee9f805cdc1ed4a5,341,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5eab1598ee9f805cdc1ed4a5,367,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5eab1598ee9f805cdc1ed4a5,650,0,4,0,3,0,0,0,0,0,0,0,0,3,3,0,0
5eab178dee9f805cdc1ee2bf,341,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5eab178dee9f805cdc1ee2bf,367,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0
5eab178dee9f805cdc1ee2bf,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5eab1e2bee9f805cdc1f3f4e,341,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5eab1e2bee9f805cdc1f3f4e,367,3,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0
5eab1e2bee9f805cdc1f3f4e,650,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5eab1e87ee9f805cdc1f4515,341,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5eab1e87ee9f805cdc1f4515,367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5eab1e87ee9f805cdc1f4515,650,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5eab212dee9f805cdc1f6ebc,341,0,7,4,2,0,0,0,0,0,0,4,4,2,2,0,0
5eab212dee9f805cdc1f6ebc,367,11,15,8,12,3,5,5,5,3,1,1,2,8,9,1,2
5eab212dee9f805cdc1f6ebc,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
