group_id,topic,raw_query,raw_results,raw_recent,raw_saved,query2results,results2query,query2recent,recent2query,query2saved,saved2query,results2recent,recent2results,results2saved,saved2results,recent2saved,saved2recent
5ea6bf26294d2737708db367,341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea6bf26294d2737708db367,367,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0
5ea6bf26294d2737708db367,650,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
5ea6e7c0294d2737708eb7ca,341,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5ea6e7c0294d2737708eb7ca,367,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5ea6e7c0294d2737708eb7ca,650,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5ea710ff294d2737708f2646,341,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5ea710ff294d2737708f2646,367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea710ff294d2737708f2646,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea72ac0ec9f9fc6aa2b211b,341,2,4,1,2,1,1,0,0,0,0,1,1,2,2,0,0
5ea72ac0ec9f9fc6aa2b211b,367,2,5,1,4,1,1,0,0,0,0,0,1,4,3,0,1
5ea72ac0ec9f9fc6aa2b211b,650,1,2,2,1,0,0,0,1,0,0,2,0,0,1,1,0
5ea7fadff5adb0a710abfa76,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea7fadff5adb0a710abfa76,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ea7fadff5adb0a710abfa76,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5eaafdc5ee9f805cdc1e21ff,341,3,2,0,1,1,2,0,0,1,0,0,0,0,1,0,0
5eaafdc5ee9f805cdc1e21ff,367,5,8,3,2,3,4,1,0,0,0,2,3,2,2,0,0
5eaafdc5ee9f805cdc1e21ff,650,6,21,10,7,4,5,0,0,1,0,10,10,6,7,0,0
5eab1924ee9f805cdc1ef9e4,341,1,3,1,2,1,0,0,0,0,0,1,1,2,1,0,0
5eab1924ee9f805cdc1ef9e4,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5eab1924ee9f805cdc1ef9e4,650,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
